actual,proposed
-0.31212255358695984,-0.3103225827217102
-0.31281596422195435,-0.3115692734718323
-0.3148961365222931,-0.3132326900959015
-0.3242836594581604,-0.31875818967819214
-0.3249899446964264,-0.32187405228614807
-0.3256962299346924,-0.3237851560115814
-0.3278150260448456,-0.3258000910282135
-0.3292275369167328,-0.32751381397247314
-0.3755992650985718,-0.35155653953552246
-0.37639978528022766,-0.36397817730903625
-0.3755992650985718,-0.3697887361049652
-0.3747987449169159,-0.37229374051094055
-0.27781012654304504,-0.3250519335269928
-0.2512248754501343,-0.28813838958740234
-0.2501375377178192,-0.2691379487514496
-0.24905018508434296,-0.25909408926963806
-0.2479628175497055,-0.2535284459590912
-0.24687547981739044,-0.2502019703388214
-0.2457880973815918,-0.2479950338602066
-0.22436940670013428,-0.23618221282958984
-0.22287051379680634,-0.2295263558626175
-0.2213716059923172,-0.22544898092746735
-0.21987269818782806,-0.2226608395576477
-0.21837379038333893,-0.22051730751991272
-0.24369306862354279,-0.23210519552230835
-0.24313294887542725,-0.2376190721988678
-0.24201272428035736,-0.23981589078903198
-0.24089248478412628,-0.24035419523715973
-0.2397722601890564,-0.24006322026252747
-0.2217925488948822,-0.23092788457870483
-0.22075141966342926,-0.22583965957164764
-0.2197103053331375,-0.22277498245239258
-0.21918973326683044,-0.2209823578596115
-0.21918973326683044,-0.22008605301380157
-0.19730335474014282,-0.2086946964263916
-0.19730335474014282,-0.2029990255832672
-0.19730335474014282,-0.20015119016170502
-0.1963639259338379,-0.19825755059719086
-0.19589421153068542,-0.19707587361335754
-0.1949547827243805,-0.19601532816886902
-0.22265653312206268,-0.20933593809604645
-0.22372683882713318,-0.21653138101100922
-0.22533227503299713,-0.22093182802200317
-0.22640256583690643,-0.2236672043800354
-0.22693772614002228,-0.22530245780944824
-0.2030028998851776,-0.21415267884731293
-0.20347937941551208,-0.2088160216808319
-0.20395585894584656,-0.20638594031333923
-0.20395585894584656,-0.2051708996295929
-0.20490878820419312,-0.205039843916893
-0.21461404860019684,-0.20982694625854492
-0.21511192619800568,-0.2124694436788559
-0.21560978889465332,-0.214039608836174
-0.216605544090271,-0.2153225839138031
-0.21710340678691864,-0.21621298789978027
-0.21809916198253632,-0.2171560823917389
-0.20324808359146118,-0.21020208299160004
-0.1600855439901352,-0.18514381349086761
-0.16044935584068298,-0.1727965921163559
-0.16081315279006958,-0.16680486500263214
-0.16117694973945618,-0.16399091482162476
-0.17954115569591522,-0.1717660278081894
-0.1799464076757431,-0.17585621774196625
-0.18035165965557098,-0.17810393869876862
-0.18075689673423767,-0.17943041026592255
-0.18116213381290436,-0.18029627203941345
-0.14241351187229156,-0.1613548994064331
-0.14273136854171753,-0.15204313397407532
-0.14336711168289185,-0.14770512282848358
-0.14432071149349213,-0.14601291716098785
-0.1452743113040924,-0.14564362168312073
-0.15014398097991943,-0.14789380133152008
-0.15144950151443481,-0.14967164397239685
-0.1527549922466278,-0.15121331810951233
-0.154060497879982,-0.15263691544532776
-0.15536600351333618,-0.15400145947933197
-0.15699787437915802,-0.155499666929245
-0.14560621976852417,-0.15055294334888458
-0.14740370213985443,-0.1489783227443695
-0.14890159666538239,-0.14893996715545654
-0.15099866688251495,-0.14996930956840515
-0.15309572219848633,-0.15153251588344574
-0.15650251507759094,-0.15401752293109894
-0.1586131751537323,-0.15631534159183502
-0.16102536022663116,-0.1586703509092331
-0.16343751549720764,-0.16105392575263977
-0.16615121066570282,-0.1636025756597519
-0.21907706558704376,-0.19133982062339783
-0.2222062647342682,-0.206773042678833
-0.2249443084001541,-0.21585866808891296
-0.22846461832523346,-0.22216163575649261
